"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Not at all surprised. #bahubali deserved every bit of it. Expected best director too...psch.",FALSE,0,NA,2016-03-29 16:36:24,FALSE,NA,"714853728285827073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Madhu_Mouni",0,FALSE,FALSE,NA,NA
"2","A totally new attempt #Kanche set on back drop of world war 2,&amp; Indian govt. honoured this brave attempts by announcing #Bahubali- best.....",FALSE,0,NA,2016-03-29 16:20:43,FALSE,NA,"714849779600203780",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","reddysuchet98",0,FALSE,FALSE,NA,NA
"3","This yr two directors made Telugu film industry proud @ssrajamouli #Krish by breaking barriers &amp; making magnum opus like #Bahubali &amp; (1/2)",FALSE,0,NA,2016-03-29 16:18:12,FALSE,NA,"714849145186611200",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","reddysuchet98",0,FALSE,FALSE,NA,NA
"4","#bahubali a movie so openly #misogynistic n crass at so many other levels receiving such a national honor has 2b a sad day. #NationalAwards",FALSE,0,NA,2016-03-29 16:08:00,FALSE,NA,"714846578809253888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","burgandygurl",0,FALSE,FALSE,NA,NA
"5","#raajkahini won hearts... #bahubali won award. waiting for #zulfiqar. @srijitspeaketh",FALSE,0,NA,2016-03-29 16:06:18,FALSE,NA,"714846152022040576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sangitmkl",0,FALSE,FALSE,NA,NA
"6","congrats to whole team of #Bahubali.""HardWork+Dedication+Sincerity+Timing= Bahubali"".@RanaDaggubati and @ssrajamouli and Prabhas and shobhu.",FALSE,0,NA,2016-03-29 16:04:18,FALSE,NA,"714845650165190656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BhaskarReddy515",0,FALSE,FALSE,NA,NA
"7","Personally I feel categories chosen to award #Bahubali were the biggest let downs at this year's #NationalAwards",FALSE,0,NA,2016-03-29 16:04:12,FALSE,NA,"714845623317467137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","burgandygurl",0,FALSE,FALSE,NA,NA
"8","Congratulations to #Bahubali team <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A>....Well deserved <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> @ssrajamouli @RanaDaggubati #Prabhas @tamannaahspeaks #Anushka <U+263A>",FALSE,1,NA,2016-03-29 16:02:27,FALSE,NA,"714845184412901376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Indhuja93",0,FALSE,FALSE,NA,NA
"9","Seems like with wins like #Gujarat, #Bahubali, #BajrangiBhaijaan n #SLB, people are forced to lose faith in #NationalAwards as well.",FALSE,0,NA,2016-03-29 16:02:15,FALSE,NA,"714845130981683201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","burgandygurl",0,FALSE,FALSE,NA,NA
"10","Congratulations to the entire team of #Bahubali 
Special mention to Prabhas @RanaDaggubati and @ssrajamouli https://t.co/c0Q6OYz9Uf",FALSE,0,NA,2016-03-29 15:32:32,FALSE,NA,"714837654118932480",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","FanOf_Chiru",0,FALSE,FALSE,NA,NA
"11","Without #Prabhas There is No #Bahubali
W'out #JrNTR There's No #Yamadonga
W'out #Mahesh There's No #1
W'out #Gurram There's no #SardarGabbar",FALSE,3,NA,2016-03-29 15:18:20,FALSE,NA,"714834080215474176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ImKiranCena",2,FALSE,FALSE,NA,NA
"12","#Bahubali was given the National Award only so that the govt can ask Rajamouli that 'Kattappa ne Bahubali ko kyu maara?' #NationalAward",FALSE,0,NA,2016-03-29 15:13:21,FALSE,NA,"714832828404334593",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","minitanmaybhat",0,FALSE,FALSE,NA,NA
"13","@IAmVarunTej @RanaDaggubati @ssrajamouli congratulations to #Bahubali team",FALSE,0,"IAmVarunTej",2016-03-29 14:56:53,FALSE,"714824270052859904","714828683970617344","1296642259","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KonidelaAkshaya",0,FALSE,FALSE,NA,NA
