"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Find the perfect movie for your sensitive child: by BabyCenter Guest Blogger posted in Mom Stories By Si... https://t.co/ICyjV935W0 #Baby",FALSE,0,NA,2016-04-08 13:57:01,FALSE,NA,"718437497508749314",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","BabyGear2015",0,FALSE,FALSE,NA,NA
"2","Find the perfect movie for your sensitive child https://t.co/Dxb9AxmHjT #LotsToLearn #baby",FALSE,0,NA,2016-04-08 13:45:10,FALSE,NA,"718434512640745472",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","LotsToLearn",0,FALSE,FALSE,NA,NA
"3","Health https://t.co/ybRw0HQYKi #songs #music #hit #love #like #movie #review #status #babe #baby #govt #exam #teacher #book #child",FALSE,0,NA,2016-04-07 09:33:13,FALSE,NA,"718008722165878784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","victormacclien",0,FALSE,FALSE,NA,NA
"4","Mom since she can't have #baby #God #blessed her with me. #movie @eddiegribust #chihuahua #dog #puppy #sterile #pet https://t.co/gIA6TkoFvB",FALSE,6,NA,2016-04-04 12:15:59,FALSE,NA,"716962516681666560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FridaChihuahua",0,FALSE,FALSE,NA,NA
"5","5 Free Disney Movie Rewards Points https://t.co/zwUNtgCham #baby #mom #free #freesample #freestuff",FALSE,1,NA,2016-04-04 10:49:51,FALSE,NA,"716940843396034560",NA,"<a href=""http://www.ilovefreethings.com"" rel=""nofollow"">ILFT</a>","ILoveFreeThings",0,FALSE,FALSE,NA,NA
"6","#Baby... A must watch movie..",FALSE,0,NA,2016-04-03 10:08:59,FALSE,NA,"716568171310780416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ajoshya",0,FALSE,FALSE,NA,NA
"7","@akshaykumar @AnupamPkher its 25+ Time i have watched the movie #Baby and every time it looks new and Entertaining. it deserves an oscar :)",FALSE,21,"akshaykumar",2016-04-03 09:32:59,FALSE,NA,"716559110729142272","31348594","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ngajaya",31,FALSE,FALSE,NA,NA
"8","Wen I shud b sleep cuz I got church, bt 1 of my most fav movie is on #SpiceWorld #SpiceGirls #1997 #Posh #Sporty #Scary #Ginger #Baby",FALSE,0,NA,2016-04-03 04:10:56,FALSE,NA,"716478061777170433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Uniquely_karma",0,FALSE,FALSE,NA,NA
"9","Nex movie !! Avengers versus transformers ??? Lol !!<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081> #baby #transformers #avengers https://t.co/gbGTE0Nkyo",FALSE,0,NA,2016-04-03 03:39:29,FALSE,NA,"716470147167481856",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tatopalmett",0,FALSE,FALSE,NA,NA
"10","Chuky 6 the come back !!! #horror #movie #LOL #baby https://t.co/MYxLuZcCGi",FALSE,1,NA,2016-04-02 22:31:03,FALSE,NA,"716392530795970560",NA,"<a href=""http://vine.co"" rel=""nofollow"">Vine - Make a Scene</a>","sachalempereur",0,FALSE,FALSE,NA,NA
"11","@whit_by by rickmessier life is good #babies #whitby #goals #gorgeous #baby #son #daughter #friday #movie #chill #e… https://t.co/PGYWEWUKyx",FALSE,0,"Whit_by",2016-04-02 00:30:26,FALSE,NA,"716060184590872577","306696024","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Whit_by",0,FALSE,FALSE,NA,NA
"12","Movie strtd wth wondrful fresh song #baby.omg I'm carried away by #Oopiri feeling.ha ha @actorkarthi u r indeed a gd painter",FALSE,1,NA,2016-04-01 08:44:19,FALSE,NA,"715822088842579969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wataworld",0,FALSE,FALSE,NA,NA
"13","Star Wars Darth Vader 3D Wall Light With Remote Control Star Wars Movie https://t.co/4WTzlx17yB
#baby #babycare",FALSE,0,NA,2016-03-31 17:15:05,FALSE,NA,"715588239638274048",NA,"<a href=""http://topbabyshopping.com"" rel=""nofollow"">Social Rabbit 107</a>","sfaybushevich3",0,FALSE,FALSE,NA,NA
"14","WOM-HOPE® LED Art Sculpture Lights Up Night Lights Desk Lamp with Base - ... https://t.co/0fCOoamqEm
#baby #babycare https://t.co/MxzXEtbjsh",FALSE,0,NA,2016-03-31 11:00:05,FALSE,NA,"715493865554386944",NA,"<a href=""http://topbabyshopping.com"" rel=""nofollow"">Social Rabbit 107</a>","sfaybushevich3",0,FALSE,FALSE,NA,NA
"15","#Baby is most underrated movie .every Award show avoid it
 but every heart won this movie.
Agree ????
#Housefull3 trailer mid April.",FALSE,2,NA,2016-03-31 04:22:32,FALSE,NA,"715393818665705472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pawan_Akkian",0,FALSE,FALSE,NA,NA
