"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","OMG, you CAN'T grow up together! This is an 80's movie, not an 80's sitcom!!! Duh... 
#watchETagain",FALSE,0,NA,2016-04-09 05:55:58,FALSE,NA,"718678822372143104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GrayLori",0,FALSE,FALSE,NA,NA
"2","@MatanJeda Oh, grow up. Back to the point: Robbie et al hate that movie, so you hate them for hating that movie. That seem normal to you?",FALSE,0,"MatanJeda",2016-04-09 05:38:17,FALSE,"718673499582103553","718674372911853569","265220205","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ckfyvie",0,FALSE,FALSE,NA,NA
"3","To the dreamers, the rule-breakers, the ones who never grow up...
#bike by @tetongravity
,
https://t.co/fpqf42wHu8",FALSE,1,NA,2016-04-09 05:10:06,FALSE,NA,"718667282382254080",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","hoohbe",1,FALSE,FALSE,NA,NA
"4","When I grow up I'm gonna make a Pixar movie always wanted to",FALSE,2,NA,2016-04-09 04:48:52,FALSE,NA,"718661936926199808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","papicodone_",0,FALSE,FALSE,NA,NA
"5","Grow up 

Movie For BarbieImperial",FALSE,0,NA,2016-04-09 04:15:56,FALSE,NA,"718653649811931136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","raixx01",0,FALSE,FALSE,NA,NA
"6","If you didn't grow up on the movie ""cats don't dance"" as a kid, you missed out. I love that movie. It's so slept on",FALSE,0,NA,2016-04-09 03:28:14,FALSE,NA,"718641646687141889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SomeKidNajir",0,FALSE,FALSE,NA,NA
"7","I'm over here curled up, balling my eyes out to this movie, I gotta grow up <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>",FALSE,0,NA,2016-04-09 02:03:32,FALSE,NA,"718620328272863233",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LabelMeAngelic_",0,FALSE,FALSE,NA,NA
"8","Thoughts while watching Wizard of Oz:

-APUSH has ruined this movie. 
-Dorothy needs to stop whining &amp; acting like she's 7 and grow up",FALSE,18,NA,2016-04-09 01:41:28,FALSE,NA,"718614777912696832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ellenmarie_123",0,FALSE,FALSE,NA,NA
"9","im going to own a chain of movie theaters when i grow up",FALSE,0,NA,2016-04-09 01:35:47,FALSE,NA,"718613344890986496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","capitalistmemes",0,FALSE,FALSE,NA,NA
"10","You don't realise your favourite movie series was white washed and slightly sexist until you grow up...",FALSE,1,NA,2016-04-09 00:24:12,FALSE,NA,"718595331106013184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chodofaggins",0,FALSE,FALSE,NA,NA
"11","BATMAN V SUPERMAN best movie  want to be a pilot when I grow up want to fly for Emirates in a plane BOEING 777-300ER https://t.co/JVKRJ6z9CE",FALSE,1,NA,2016-04-08 22:09:58,FALSE,NA,"718561550156607488",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sifikhile9",0,FALSE,FALSE,NA,NA
"12","zack made the sots movie and lilac wrote books so now someone from sodality has to grow up make society/sodality into an anime",FALSE,0,"Yoshichao",2016-04-08 20:32:08,FALSE,"718536755025199104","718536930430971905","45950979","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Yoshichao",0,FALSE,FALSE,NA,NA
"13","Yo @KenyaPower_Care I can't hurry home to watch a movie only to get a blackout. Ya'll need to grow up. @kenyapower .",FALSE,0,NA,2016-04-08 20:20:22,FALSE,NA,"718533968610664448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Miss_Patriciah",0,FALSE,FALSE,"36.9340572","-1.2251695"
"14","It's perpetually dissapointing to teenage me that I didn't grow up to be THE ROCK (the movie, not the actor)",FALSE,0,NA,2016-04-08 19:16:12,FALSE,NA,"718517820527681536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alxhuls",0,FALSE,FALSE,NA,NA
"15","@FeeonaFiona @El_Pinata no it wasn't. It's a movie about dinosaurs which do not pick targets based on guilt lol. Grow up",FALSE,0,"FeeonaFiona",2016-04-08 17:07:39,FALSE,"718465055478648832","718485469227524096","2329324520","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MeReachingout",0,FALSE,FALSE,NA,NA
"16","omg <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9> i gotta get a movie room in my house when I grow up  https://t.co/8HyphJUBr3",FALSE,0,NA,2016-04-08 16:44:42,FALSE,NA,"718479694526554113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gvldenrvses",1,FALSE,FALSE,NA,NA
