"","start","X2.States."
"1",2014-05-01,95
"2",2014-05-02,85
"3",2014-05-03,100
"4",2014-05-04,91
"5",2014-05-05,67
"6",2014-05-06,68
"7",2014-05-07,68
"8",2014-05-08,69
"9",2014-05-09,73
"10",2014-05-10,83
"11",2014-05-11,79
"12",2014-05-12,59
"13",2014-05-13,59
"14",2014-05-14,48
"15",2014-05-15,52
"16",2014-05-16,54
"17",2014-05-17,65
"18",2014-05-18,63
"19",2014-05-19,40
"20",2014-05-20,38
"21",2014-05-21,38
"22",2014-05-22,43
"23",2014-05-23,45
"24",2014-05-24,55
"25",2014-05-25,51
"26",2014-05-26,38
"27",2014-05-27,36
"28",2014-05-28,36
"29",2014-05-29,28
"30",2014-05-30,27
"31",2014-05-31,34
