"","start","end","X300.Rise.of.an.Empire."
"1",2013-06-02,2013-06-08,1
"2",2013-06-09,2013-06-15,18
"3",2013-06-16,2013-06-22,7
"4",2013-06-23,2013-06-29,4
"5",2013-06-30,2013-07-06,4
"6",2013-07-07,2013-07-13,4
"7",2013-07-14,2013-07-20,5
"8",2013-07-21,2013-07-27,4
"9",2013-07-28,2013-08-03,4
"10",2013-08-04,2013-08-10,4
"11",2013-08-11,2013-08-17,4
"12",2013-08-18,2013-08-24,3
"13",2013-08-25,2013-08-31,3
"14",2013-09-01,2013-09-07,3
"15",2013-09-08,2013-09-14,3
"16",2013-09-15,2013-09-21,3
"17",2013-09-22,2013-09-28,3
"18",2013-09-29,2013-10-05,3
"19",2013-10-06,2013-10-12,3
"20",2013-10-13,2013-10-19,2
"21",2013-10-20,2013-10-26,2
"22",2013-10-27,2013-11-02,2
"23",2013-11-03,2013-11-09,2
"24",2013-11-10,2013-11-16,2
"25",2013-11-17,2013-11-23,2
"26",2013-11-24,2013-11-30,2
"27",2013-12-01,2013-12-07,5
"28",2013-12-08,2013-12-14,3
"29",2013-12-15,2013-12-21,3
"30",2013-12-22,2013-12-28,4
"31",2013-12-29,2014-01-04,4
"32",2014-01-05,2014-01-11,4
"33",2014-01-12,2014-01-18,4
"34",2014-01-19,2014-01-25,11
"35",2014-01-26,2014-02-01,5
"36",2014-02-02,2014-02-08,5
"37",2014-02-09,2014-02-15,9
"38",2014-02-16,2014-02-22,14
"39",2014-02-23,2014-03-01,20
"40",2014-03-02,2014-03-08,78
"41",2014-03-09,2014-03-15,100
"42",2014-03-16,2014-03-22,55
"43",2014-03-23,2014-03-29,52
"44",2014-03-30,2014-04-05,33
