"","start","end","X47.Ronin."
"1",2013-07-07,2013-07-13,1
"2",2013-07-14,2013-07-20,1
"3",2013-07-21,2013-07-27,18
"4",2013-07-28,2013-08-03,8
"5",2013-08-04,2013-08-10,3
"6",2013-08-11,2013-08-17,3
"7",2013-08-18,2013-08-24,3
"8",2013-08-25,2013-08-31,3
"9",2013-09-01,2013-09-07,3
"10",2013-09-08,2013-09-14,3
"11",2013-09-15,2013-09-21,2
"12",2013-09-22,2013-09-28,2
"13",2013-09-29,2013-10-05,3
"14",2013-10-06,2013-10-12,4
"15",2013-10-13,2013-10-19,3
"16",2013-10-20,2013-10-26,4
"17",2013-10-27,2013-11-02,8
"18",2013-11-03,2013-11-09,7
"19",2013-11-10,2013-11-16,5
"20",2013-11-17,2013-11-23,7
"21",2013-11-24,2013-11-30,9
"22",2013-12-01,2013-12-07,14
"23",2013-12-08,2013-12-14,19
"24",2013-12-15,2013-12-21,32
"25",2013-12-22,2013-12-28,100
"26",2013-12-29,2014-01-04,92
"27",2014-01-05,2014-01-11,63
"28",2014-01-12,2014-01-18,55
"29",2014-01-19,2014-01-25,45
"30",2014-01-26,2014-02-01,41
"31",2014-02-02,2014-02-08,36
"32",2014-02-09,2014-02-15,27
"33",2014-02-16,2014-02-22,23
"34",2014-02-23,2014-03-01,21
"35",2014-03-02,2014-03-08,20
"36",2014-03-09,2014-03-15,24
"37",2014-03-16,2014-03-22,65
"38",2014-03-23,2014-03-29,55
"39",2014-03-30,2014-04-05,42
"40",2014-04-06,2014-04-12,32
"41",2014-04-13,2014-04-19,30
"42",2014-04-20,2014-04-26,27
"43",2014-04-27,2014-05-03,24
"44",2014-05-04,2014-05-10,19
"45",2014-05-11,2014-05-17,17
"46",2014-05-18,2014-05-24,15
"47",2014-05-25,2014-05-31,15
"48",2014-06-01,2014-06-07,13
"49",2014-06-08,2014-06-14,11
"50",2014-06-15,2014-06-21,10
"51",2014-06-22,2014-06-28,9
"52",2014-06-29,2014-07-05,9
"53",2014-07-06,2014-07-12,9
"54",2014-07-13,2014-07-19,8
"55",2014-07-20,2014-07-26,8
"56",2014-07-27,2014-08-02,8
"57",2014-08-03,2014-08-09,8
"58",2014-08-10,2014-08-16,8
"59",2014-08-17,2014-08-23,6
"60",2014-08-24,2014-08-30,6
"61",2014-08-31,2014-09-06,5
"62",2014-09-07,2014-09-13,5
"63",2014-09-14,2014-09-20,5
"64",2014-09-21,2014-09-27,6
"65",2014-09-28,2014-10-04,8
"66",2014-10-05,2014-10-11,8
"67",2014-10-12,2014-10-18,6
"68",2014-10-19,2014-10-25,5
"69",2014-10-26,2014-11-01,5
