"","start","A.Good.Day.To.Die.Hard."
"1",2013-01-01,5
"2",2013-01-02,5
"3",2013-01-03,8
"4",2013-01-04,11
"5",2013-01-05,9
"6",2013-01-06,7
"7",2013-01-07,6
"8",2013-01-08,6
"9",2013-01-09,6
"10",2013-01-10,4
"11",2013-01-11,6
"12",2013-01-12,7
"13",2013-01-13,22
"14",2013-01-14,6
"15",2013-01-15,5
"16",2013-01-16,5
"17",2013-01-17,5
"18",2013-01-18,5
"19",2013-01-19,6
"20",2013-01-20,18
"21",2013-01-21,11
"22",2013-01-22,9
"23",2013-01-23,8
"24",2013-01-24,8
"25",2013-01-25,9
"26",2013-01-26,12
"27",2013-01-27,14
"28",2013-01-28,11
"29",2013-01-29,10
"30",2013-01-30,11
"31",2013-01-31,14
"32",2013-02-01,16
"33",2013-02-02,16
"34",2013-02-03,15
"35",2013-02-04,17
"36",2013-02-05,20
"37",2013-02-06,25
"38",2013-02-07,30
"39",2013-02-08,34
"40",2013-02-09,36
"41",2013-02-10,39
"42",2013-02-11,35
"43",2013-02-12,41
"44",2013-02-13,48
"45",2013-02-14,92
"46",2013-02-15,93
"47",2013-02-16,100
"48",2013-02-17,92
"49",2013-02-18,65
"50",2013-02-19,45
"51",2013-02-20,43
"52",2013-02-21,42
"53",2013-02-22,55
"54",2013-02-23,66
"55",2013-02-24,56
"56",2013-02-25,33
"57",2013-02-26,27
"58",2013-02-27,28
"59",2013-02-28,25
