"","start","ABCD.2."
"1",2015-06-01,19
"2",2015-06-02,19
"3",2015-06-03,19
"4",2015-06-04,22
"5",2015-06-05,23
"6",2015-06-06,26
"7",2015-06-07,27
"8",2015-06-08,23
"9",2015-06-09,24
"10",2015-06-10,25
"11",2015-06-11,25
"12",2015-06-12,27
"13",2015-06-13,33
"14",2015-06-14,37
"15",2015-06-15,28
"16",2015-06-16,28
"17",2015-06-17,29
"18",2015-06-18,33
"19",2015-06-19,84
"20",2015-06-20,100
"21",2015-06-21,83
"22",2015-06-22,61
"23",2015-06-23,53
"24",2015-06-24,49
"25",2015-06-25,46
"26",2015-06-26,45
"27",2015-06-27,58
"28",2015-06-28,54
"29",2015-06-29,36
"30",2015-06-30,35
