"","start","All.Is.Well."
"1",2015-10-01,87
"2",2015-10-02,94
"3",2015-10-03,98
"4",2015-10-04,100
"5",2015-10-05,74
"6",2015-10-06,75
"7",2015-10-07,74
"8",2015-10-08,78
"9",2015-10-09,74
"10",2015-10-10,92
"11",2015-10-11,98
"12",2015-10-12,83
"13",2015-10-13,78
"14",2015-10-14,70
"15",2015-10-15,72
"16",2015-10-16,70
"17",2015-10-17,82
"18",2015-10-18,77
"19",2015-10-19,60
"20",2015-10-20,59
"21",2015-10-21,59
"22",2015-10-22,62
"23",2015-10-23,61
"24",2015-10-24,68
"25",2015-10-25,66
"26",2015-10-26,58
"27",2015-10-27,60
"28",2015-10-28,60
"29",2015-10-29,57
"30",2015-10-30,64
"31",2015-10-31,76
