"","start","Alone."
"1",2014-12-01,28
"2",2014-12-02,30
"3",2014-12-03,35
"4",2014-12-04,32
"5",2014-12-05,34
"6",2014-12-06,41
"7",2014-12-07,50
"8",2014-12-08,34
"9",2014-12-09,32
"10",2014-12-10,38
"11",2014-12-11,36
"12",2014-12-12,38
"13",2014-12-13,48
"14",2014-12-14,45
"15",2014-12-15,40
"16",2014-12-16,41
"17",2014-12-17,43
"18",2014-12-18,43
"19",2014-12-19,44
"20",2014-12-20,55
"21",2014-12-21,62
"22",2014-12-22,54
"23",2014-12-23,56
"24",2014-12-24,79
"25",2014-12-25,100
"26",2014-12-26,73
"27",2014-12-27,65
"28",2014-12-28,62
"29",2014-12-29,50
"30",2014-12-30,47
"31",2014-12-31,51
"32",2015-01-01,54
"33",2015-01-02,49
"34",2015-01-03,48
"35",2015-01-04,47
"36",2015-01-05,36
"37",2015-01-06,36
"38",2015-01-07,36
"39",2015-01-08,35
"40",2015-01-09,36
"41",2015-01-10,43
"42",2015-01-11,42
"43",2015-01-12,36
"44",2015-01-13,35
"45",2015-01-14,37
"46",2015-01-15,41
"47",2015-01-16,64
"48",2015-01-17,75
"49",2015-01-18,67
"50",2015-01-19,53
"51",2015-01-20,49
"52",2015-01-21,48
"53",2015-01-22,47
"54",2015-01-23,46
"55",2015-01-24,53
"56",2015-01-25,53
"57",2015-01-26,38
"58",2015-01-27,37
"59",2015-01-28,36
"60",2015-01-29,36
"61",2015-01-30,37
"62",2015-01-31,42
