"","start","Aurangzeb."
"1",2013-04-01,2
"2",2013-04-02,2
"3",2013-04-03,12
"4",2013-04-04,10
"5",2013-04-05,8
"6",2013-04-06,7
"7",2013-04-07,5
"8",2013-04-08,5
"9",2013-04-09,4
"10",2013-04-10,3
"11",2013-04-11,3
"12",2013-04-12,3
"13",2013-04-13,3
"14",2013-04-14,3
"15",2013-04-15,3
"16",2013-04-16,3
"17",2013-04-17,3
"18",2013-04-18,3
"19",2013-04-19,3
"20",2013-04-20,3
"21",2013-04-21,6
"22",2013-04-22,7
"23",2013-04-23,8
"24",2013-04-24,8
"25",2013-04-25,9
"26",2013-04-26,9
"27",2013-04-27,9
"28",2013-04-28,9
"29",2013-04-29,7
"30",2013-04-30,10
"31",2013-05-01,10
"32",2013-05-02,10
"33",2013-05-03,11
"34",2013-05-04,15
"35",2013-05-05,13
"36",2013-05-06,12
"37",2013-05-07,12
"38",2013-05-08,12
"39",2013-05-09,13
"40",2013-05-10,14
"41",2013-05-11,14
"42",2013-05-12,14
"43",2013-05-13,14
"44",2013-05-14,14
"45",2013-05-15,15
"46",2013-05-16,25
"47",2013-05-17,99
"48",2013-05-18,100
"49",2013-05-19,81
"50",2013-05-20,59
"51",2013-05-21,41
"52",2013-05-22,39
"53",2013-05-23,40
"54",2013-05-24,37
"55",2013-05-25,46
"56",2013-05-26,33
"57",2013-05-27,28
"58",2013-05-28,24
"59",2013-05-29,20
"60",2013-05-30,19
"61",2013-05-31,18
