"","start","Baby."
"1",2014-12-01,73
"2",2014-12-02,74
"3",2014-12-03,75
"4",2014-12-04,77
"5",2014-12-05,76
"6",2014-12-06,82
"7",2014-12-07,83
"8",2014-12-08,74
"9",2014-12-09,72
"10",2014-12-10,72
"11",2014-12-11,72
"12",2014-12-12,73
"13",2014-12-13,78
"14",2014-12-14,82
"15",2014-12-15,74
"16",2014-12-16,73
"17",2014-12-17,74
"18",2014-12-18,72
"19",2014-12-19,72
"20",2014-12-20,77
"21",2014-12-21,81
"22",2014-12-22,73
"23",2014-12-23,72
"24",2014-12-24,73
"25",2014-12-25,71
"26",2014-12-26,75
"27",2014-12-27,80
"28",2014-12-28,82
"29",2014-12-29,77
"30",2014-12-30,77
"31",2014-12-31,76
"32",2015-01-01,83
"33",2015-01-02,83
"34",2015-01-03,86
"35",2015-01-04,87
"36",2015-01-05,76
"37",2015-01-06,79
"38",2015-01-07,77
"39",2015-01-08,76
"40",2015-01-09,79
"41",2015-01-10,87
"42",2015-01-11,87
"43",2015-01-12,78
"44",2015-01-13,74
"45",2015-01-14,75
"46",2015-01-15,76
"47",2015-01-16,78
"48",2015-01-17,86
"49",2015-01-18,87
"50",2015-01-19,78
"51",2015-01-20,77
"52",2015-01-21,77
"53",2015-01-22,79
"54",2015-01-23,88
"55",2015-01-24,100
"56",2015-01-25,98
"57",2015-01-26,82
"58",2015-01-27,81
"59",2015-01-28,80
"60",2015-01-29,79
"61",2015-01-30,80
"62",2015-01-31,91
