"","start","Bang.Bang."
"1",2014-11-01,100
"2",2014-11-02,97
"3",2014-11-03,80
"4",2014-11-04,78
"5",2014-11-05,76
"6",2014-11-06,81
"7",2014-11-07,89
"8",2014-11-08,96
"9",2014-11-09,92
"10",2014-11-10,77
"11",2014-11-11,77
"12",2014-11-12,92
"13",2014-11-13,91
"14",2014-11-14,89
"15",2014-11-15,95
"16",2014-11-16,88
"17",2014-11-17,72
"18",2014-11-18,71
"19",2014-11-19,72
"20",2014-11-20,72
"21",2014-11-21,80
"22",2014-11-22,88
"23",2014-11-23,88
"24",2014-11-24,78
"25",2014-11-25,74
"26",2014-11-26,75
"27",2014-11-27,77
"28",2014-11-28,84
"29",2014-11-29,90
"30",2014-11-30,90
