"","start","Bhoothnath.Returns."
"1",2014-05-01,92
"2",2014-05-02,77
"3",2014-05-03,100
"4",2014-05-04,86
"5",2014-05-05,56
"6",2014-05-06,53
"7",2014-05-07,52
"8",2014-05-08,58
"9",2014-05-09,64
"10",2014-05-10,78
"11",2014-05-11,70
"12",2014-05-12,44
"13",2014-05-13,49
"14",2014-05-14,48
"15",2014-05-15,47
"16",2014-05-16,51
"17",2014-05-17,66
"18",2014-05-18,58
"19",2014-05-19,41
"20",2014-05-20,43
"21",2014-05-21,40
"22",2014-05-22,39
"23",2014-05-23,47
"24",2014-05-24,60
"25",2014-05-25,60
"26",2014-05-26,43
"27",2014-05-27,43
"28",2014-05-28,40
"29",2014-05-29,48
"30",2014-05-30,42
"31",2014-05-31,60
