"","start","Bhopal.A.Prayer.For.Rain."
"1",2015-01-01,69
"2",2015-01-02,61
"3",2015-01-03,84
"4",2015-01-04,100
"5",2015-01-05,32
"6",2015-01-06,44
"7",2015-01-07,41
"8",2015-01-08,17
"9",2015-01-09,51
"10",2015-01-10,57
"11",2015-01-11,49
"12",2015-01-12,36
"13",2015-01-13,28
"14",2015-01-14,30
"15",2015-01-15,33
"16",2015-01-16,40
"17",2015-01-17,43
"18",2015-01-18,24
"19",2015-01-19,30
"20",2015-01-20,16
"21",2015-01-21,28
"22",2015-01-22,36
"23",2015-01-23,30
"24",2015-01-24,32
"25",2015-01-25,37
"26",2015-01-26,26
"27",2015-01-27,27
"28",2015-01-28,29
"29",2015-01-29,22
"30",2015-01-30,32
"31",2015-01-31,30
