"","start","Bombay.Talkies."
"1",2013-11-01,22
"2",2013-11-02,23
"3",2013-11-03,21
"4",2013-11-04,16
"5",2013-11-05,17
"6",2013-11-06,18
"7",2013-11-07,15
"8",2013-11-08,23
"9",2013-11-09,26
"10",2013-11-10,37
"11",2013-11-11,17
"12",2013-11-12,16
"13",2013-11-13,20
"14",2013-11-14,24
"15",2013-11-15,28
"16",2013-11-16,57
"17",2013-11-17,100
"18",2013-11-18,75
"19",2013-11-19,59
"20",2013-11-20,56
"21",2013-11-21,62
"22",2013-11-22,57
"23",2013-11-23,68
"24",2013-11-24,65
"25",2013-11-25,42
"26",2013-11-26,38
"27",2013-11-27,33
"28",2013-11-28,40
"29",2013-11-29,56
"30",2013-11-30,53
