"","start","Bombay.Velvet."
"1",2015-05-01,6
"2",2015-05-02,6
"3",2015-05-03,6
"4",2015-05-04,5
"5",2015-05-05,5
"6",2015-05-06,5
"7",2015-05-07,5
"8",2015-05-08,7
"9",2015-05-09,10
"10",2015-05-10,12
"11",2015-05-11,10
"12",2015-05-12,10
"13",2015-05-13,12
"14",2015-05-14,23
"15",2015-05-15,100
"16",2015-05-16,98
"17",2015-05-17,70
"18",2015-05-18,46
"19",2015-05-19,31
"20",2015-05-20,25
"21",2015-05-21,22
"22",2015-05-22,19
"23",2015-05-23,20
"24",2015-05-24,17
"25",2015-05-25,12
"26",2015-05-26,9
"27",2015-05-27,9
"28",2015-05-28,8
"29",2015-05-29,7
"30",2015-05-30,9
"31",2015-05-31,7
