"","start","Brothers."
"1",2015-08-01,51
"2",2015-08-02,53
"3",2015-08-03,46
"4",2015-08-04,45
"5",2015-08-05,45
"6",2015-08-06,47
"7",2015-08-07,47
"8",2015-08-08,52
"9",2015-08-09,51
"10",2015-08-10,45
"11",2015-08-11,44
"12",2015-08-12,47
"13",2015-08-13,51
"14",2015-08-14,84
"15",2015-08-15,100
"16",2015-08-16,92
"17",2015-08-17,72
"18",2015-08-18,64
"19",2015-08-19,60
"20",2015-08-20,60
"21",2015-08-21,62
"22",2015-08-22,66
"23",2015-08-23,63
"24",2015-08-24,50
"25",2015-08-25,48
"26",2015-08-26,48
"27",2015-08-27,50
"28",2015-08-28,58
"29",2015-08-29,60
"30",2015-08-30,59
"31",2015-08-31,46
