"","start","Chennai.Express."
"1",2013-09-01,100
"2",2013-09-02,72
"3",2013-09-03,63
"4",2013-09-04,61
"5",2013-09-05,62
"6",2013-09-06,62
"7",2013-09-07,76
"8",2013-09-08,73
"9",2013-09-09,50
"10",2013-09-10,44
"11",2013-09-11,43
"12",2013-09-12,44
"13",2013-09-13,45
"14",2013-09-14,57
"15",2013-09-15,54
"16",2013-09-16,36
"17",2013-09-17,36
"18",2013-09-18,35
"19",2013-09-19,34
"20",2013-09-20,38
"21",2013-09-21,46
"22",2013-09-22,43
"23",2013-09-23,29
"24",2013-09-24,29
"25",2013-09-25,28
"26",2013-09-26,28
"27",2013-09-27,32
"28",2013-09-28,42
"29",2013-09-29,39
"30",2013-09-30,28
