"","start","D.Day."
"1",2013-07-01,16
"2",2013-07-02,17
"3",2013-07-03,19
"4",2013-07-04,17
"5",2013-07-05,18
"6",2013-07-06,19
"7",2013-07-07,17
"8",2013-07-08,15
"9",2013-07-09,18
"10",2013-07-10,17
"11",2013-07-11,15
"12",2013-07-12,20
"13",2013-07-13,18
"14",2013-07-14,22
"15",2013-07-15,19
"16",2013-07-16,23
"17",2013-07-17,23
"18",2013-07-18,32
"19",2013-07-19,86
"20",2013-07-20,100
"21",2013-07-21,98
"22",2013-07-22,70
"23",2013-07-23,49
"24",2013-07-24,46
"25",2013-07-25,43
"26",2013-07-26,41
"27",2013-07-27,55
"28",2013-07-28,43
"29",2013-07-29,30
"30",2013-07-30,27
"31",2013-07-31,23
