"","start","Dabangg.2."
"1",2013-02-01,76
"2",2013-02-02,100
"3",2013-02-03,93
"4",2013-02-04,69
"5",2013-02-05,66
"6",2013-02-06,59
"7",2013-02-07,58
"8",2013-02-08,64
"9",2013-02-09,77
"10",2013-02-10,77
"11",2013-02-11,60
"12",2013-02-12,58
"13",2013-02-13,54
"14",2013-02-14,52
"15",2013-02-15,61
"16",2013-02-16,85
"17",2013-02-17,80
"18",2013-02-18,55
"19",2013-02-19,52
"20",2013-02-20,50
"21",2013-02-21,56
"22",2013-02-22,51
"23",2013-02-23,62
"24",2013-02-24,60
"25",2013-02-25,42
"26",2013-02-26,42
"27",2013-02-27,41
"28",2013-02-28,43
