"","start","David."
"1",2013-10-01,86
"2",2013-10-02,90
"3",2013-10-03,87
"4",2013-10-04,84
"5",2013-10-05,84
"6",2013-10-06,86
"7",2013-10-07,91
"8",2013-10-08,89
"9",2013-10-09,89
"10",2013-10-10,88
"11",2013-10-11,85
"12",2013-10-12,84
"13",2013-10-13,87
"14",2013-10-14,94
"15",2013-10-15,89
"16",2013-10-16,86
"17",2013-10-17,87
"18",2013-10-18,85
"19",2013-10-19,84
"20",2013-10-20,87
"21",2013-10-21,87
"22",2013-10-22,88
"23",2013-10-23,85
"24",2013-10-24,91
"25",2013-10-25,88
"26",2013-10-26,82
"27",2013-10-27,89
"28",2013-10-28,93
"29",2013-10-29,95
"30",2013-10-30,92
"31",2013-10-31,100
