"","start","end","Dawn.of.the.Planet.of.the.Apes."
"1",2013-12-01,2013-12-07,0
"2",2013-12-08,2013-12-14,3
"3",2013-12-15,2013-12-21,13
"4",2013-12-22,2013-12-28,4
"5",2013-12-29,2014-01-04,2
"6",2014-01-05,2014-01-11,2
"7",2014-01-12,2014-01-18,2
"8",2014-01-19,2014-01-25,2
"9",2014-01-26,2014-02-01,2
"10",2014-02-02,2014-02-08,1
"11",2014-02-09,2014-02-15,1
"12",2014-02-16,2014-02-22,2
"13",2014-02-23,2014-03-01,1
"14",2014-03-02,2014-03-08,1
"15",2014-03-09,2014-03-15,1
"16",2014-03-16,2014-03-22,1
"17",2014-03-23,2014-03-29,2
"18",2014-03-30,2014-04-05,4
"19",2014-04-06,2014-04-12,2
"20",2014-04-13,2014-04-19,2
"21",2014-04-20,2014-04-26,2
"22",2014-04-27,2014-05-03,2
"23",2014-05-04,2014-05-10,7
"24",2014-05-11,2014-05-17,4
"25",2014-05-18,2014-05-24,3
"26",2014-05-25,2014-05-31,3
"27",2014-06-01,2014-06-07,4
"28",2014-06-08,2014-06-14,4
"29",2014-06-15,2014-06-21,8
"30",2014-06-22,2014-06-28,10
"31",2014-06-29,2014-07-05,19
"32",2014-07-06,2014-07-12,75
"33",2014-07-13,2014-07-19,100
"34",2014-07-20,2014-07-26,69
"35",2014-07-27,2014-08-02,48
