"","start","Dawn.of.the.Planet.of.the.Apes."
"1",2014-08-01,77
"2",2014-08-02,100
"3",2014-08-03,99
"4",2014-08-04,64
"5",2014-08-05,57
"6",2014-08-06,53
"7",2014-08-07,48
"8",2014-08-08,52
"9",2014-08-09,68
"10",2014-08-10,69
"11",2014-08-11,45
"12",2014-08-12,37
"13",2014-08-13,38
"14",2014-08-14,35
"15",2014-08-15,40
"16",2014-08-16,51
"17",2014-08-17,51
"18",2014-08-18,32
"19",2014-08-19,28
"20",2014-08-20,29
"21",2014-08-21,28
"22",2014-08-22,30
"23",2014-08-23,41
"24",2014-08-24,41
"25",2014-08-25,28
"26",2014-08-26,23
"27",2014-08-27,22
"28",2014-08-28,23
"29",2014-08-29,27
"30",2014-08-30,35
"31",2014-08-31,39
