"","start","Dedh.Ishqiya."
"1",2014-01-01,8
"2",2014-01-02,8
"3",2014-01-03,9
"4",2014-01-04,10
"5",2014-01-05,10
"6",2014-01-06,9
"7",2014-01-07,10
"8",2014-01-08,14
"9",2014-01-09,28
"10",2014-01-10,85
"11",2014-01-11,100
"12",2014-01-12,87
"13",2014-01-13,64
"14",2014-01-14,56
"15",2014-01-15,45
"16",2014-01-16,40
"17",2014-01-17,42
"18",2014-01-18,46
"19",2014-01-19,36
"20",2014-01-20,25
"21",2014-01-21,21
"22",2014-01-22,18
"23",2014-01-23,19
"24",2014-01-24,19
"25",2014-01-25,22
"26",2014-01-26,20
"27",2014-01-27,13
"28",2014-01-28,12
"29",2014-01-29,12
"30",2014-01-30,11
"31",2014-01-31,13
