"","start","Ek.Villain."
"1",2014-06-01,26
"2",2014-06-02,20
"3",2014-06-03,20
"4",2014-06-04,20
"5",2014-06-05,20
"6",2014-06-06,21
"7",2014-06-07,24
"8",2014-06-08,22
"9",2014-06-09,17
"10",2014-06-10,18
"11",2014-06-11,20
"12",2014-06-12,19
"13",2014-06-13,18
"14",2014-06-14,22
"15",2014-06-15,23
"16",2014-06-16,19
"17",2014-06-17,19
"18",2014-06-18,20
"19",2014-06-19,22
"20",2014-06-20,23
"21",2014-06-21,29
"22",2014-06-22,27
"23",2014-06-23,22
"24",2014-06-24,23
"25",2014-06-25,25
"26",2014-06-26,33
"27",2014-06-27,85
"28",2014-06-28,100
"29",2014-06-29,83
"30",2014-06-30,58
