"","start","end","Everest."
"1",2015-04-05,2015-04-11,17
"2",2015-04-12,2015-04-18,16
"3",2015-04-19,2015-04-25,23
"4",2015-04-26,2015-05-02,69
"5",2015-05-03,2015-05-09,19
"6",2015-05-10,2015-05-16,20
"7",2015-05-17,2015-05-23,16
"8",2015-05-24,2015-05-30,15
"9",2015-05-31,2015-06-06,18
"10",2015-06-07,2015-06-13,17
"11",2015-06-14,2015-06-20,17
"12",2015-06-21,2015-06-27,16
"13",2015-06-28,2015-07-04,15
"14",2015-07-05,2015-07-11,15
"15",2015-07-12,2015-07-18,17
"16",2015-07-19,2015-07-25,16
"17",2015-07-26,2015-08-01,16
"18",2015-08-02,2015-08-08,18
"19",2015-08-09,2015-08-15,17
"20",2015-08-16,2015-08-22,17
"21",2015-08-23,2015-08-29,18
"22",2015-08-30,2015-09-05,26
"23",2015-09-06,2015-09-12,32
"24",2015-09-13,2015-09-19,67
"25",2015-09-20,2015-09-26,100
"26",2015-09-27,2015-10-03,84
