"","start","Everest."
"1",2015-09-01,17
"2",2015-09-02,21
"3",2015-09-03,20
"4",2015-09-04,19
"5",2015-09-05,22
"6",2015-09-06,21
"7",2015-09-07,22
"8",2015-09-08,21
"9",2015-09-09,21
"10",2015-09-10,22
"11",2015-09-11,27
"12",2015-09-12,29
"13",2015-09-13,31
"14",2015-09-14,29
"15",2015-09-15,30
"16",2015-09-16,37
"17",2015-09-17,49
"18",2015-09-18,70
"19",2015-09-19,91
"20",2015-09-20,87
"21",2015-09-21,62
"22",2015-09-22,59
"23",2015-09-23,59
"24",2015-09-24,63
"25",2015-09-25,75
"26",2015-09-26,100
"27",2015-09-27,98
"28",2015-09-28,60
"29",2015-09-29,54
"30",2015-09-30,50
