"","start","Exodus.Gods.and.Kings."
"1",2014-12-01,19
"2",2014-12-02,19
"3",2014-12-03,20
"4",2014-12-04,29
"5",2014-12-05,46
"6",2014-12-06,52
"7",2014-12-07,50
"8",2014-12-08,39
"9",2014-12-09,36
"10",2014-12-10,39
"11",2014-12-11,44
"12",2014-12-12,74
"13",2014-12-13,100
"14",2014-12-14,91
"15",2014-12-15,56
"16",2014-12-16,44
"17",2014-12-17,38
"18",2014-12-18,39
"19",2014-12-19,46
"20",2014-12-20,57
"21",2014-12-21,59
"22",2014-12-22,39
"23",2014-12-23,39
"24",2014-12-24,41
"25",2014-12-25,59
"26",2014-12-26,65
"27",2014-12-27,68
"28",2014-12-28,62
"29",2014-12-29,44
"30",2014-12-30,41
"31",2014-12-31,34
