"","start","end","Fantastic.Four."
"1",2015-04-05,2015-04-11,8
"2",2015-04-12,2015-04-18,7
"3",2015-04-19,2015-04-25,17
"4",2015-04-26,2015-05-02,11
"5",2015-05-03,2015-05-09,11
"6",2015-05-10,2015-05-16,8
"7",2015-05-17,2015-05-23,7
"8",2015-05-24,2015-05-30,7
"9",2015-05-31,2015-06-06,6
"10",2015-06-07,2015-06-13,7
"11",2015-06-14,2015-06-20,7
"12",2015-06-21,2015-06-27,8
"13",2015-06-28,2015-07-04,9
"14",2015-07-05,2015-07-11,12
"15",2015-07-12,2015-07-18,21
"16",2015-07-19,2015-07-25,18
"17",2015-07-26,2015-08-01,23
"18",2015-08-02,2015-08-08,100
"19",2015-08-09,2015-08-15,98
"20",2015-08-16,2015-08-22,48
"21",2015-08-23,2015-08-29,29
"22",2015-08-30,2015-09-05,19
