"","start","Fantastic.Four."
"1",2015-10-01,53
"2",2015-10-02,75
"3",2015-10-03,88
"4",2015-10-04,76
"5",2015-10-05,49
"6",2015-10-06,45
"7",2015-10-07,49
"8",2015-10-08,49
"9",2015-10-09,53
"10",2015-10-10,66
"11",2015-10-11,67
"12",2015-10-12,50
"13",2015-10-13,44
"14",2015-10-14,45
"15",2015-10-15,86
"16",2015-10-16,60
"17",2015-10-17,68
"18",2015-10-18,64
"19",2015-10-19,47
"20",2015-10-20,49
"21",2015-10-21,40
"22",2015-10-22,43
"23",2015-10-23,46
"24",2015-10-24,64
"25",2015-10-25,88
"26",2015-10-26,88
"27",2015-10-27,85
"28",2015-10-28,77
"29",2015-10-29,72
"30",2015-10-30,75
"31",2015-10-31,100
