"","start","Furious.7."
"1",2015-12-01,50
"2",2015-12-02,47
"3",2015-12-03,46
"4",2015-12-04,50
"5",2015-12-05,65
"6",2015-12-06,68
"7",2015-12-07,48
"8",2015-12-08,47
"9",2015-12-09,45
"10",2015-12-10,45
"11",2015-12-11,49
"12",2015-12-12,68
"13",2015-12-13,70
"14",2015-12-14,48
"15",2015-12-15,48
"16",2015-12-16,49
"17",2015-12-17,51
"18",2015-12-18,60
"19",2015-12-19,68
"20",2015-12-20,70
"21",2015-12-21,56
"22",2015-12-22,56
"23",2015-12-23,58
"24",2015-12-24,64
"25",2015-12-25,81
"26",2015-12-26,80
"27",2015-12-27,100
"28",2015-12-28,77
"29",2015-12-29,71
"30",2015-12-30,70
"31",2015-12-31,81
