"","start","end","Gabbar.Is.Back."
"1",2015-03-01,2015-03-07,0
"2",2015-03-08,2015-03-14,1
"3",2015-03-15,2015-03-21,2
"4",2015-03-22,2015-03-28,5
"5",2015-03-29,2015-04-04,5
"6",2015-04-05,2015-04-11,14
"7",2015-04-12,2015-04-18,18
"8",2015-04-19,2015-04-25,19
"9",2015-04-26,2015-05-02,62
"10",2015-05-03,2015-05-09,100
"11",2015-05-10,2015-05-16,60
"12",2015-05-17,2015-05-23,40
"13",2015-05-24,2015-05-30,30
"14",2015-05-31,2015-06-06,22
"15",2015-06-07,2015-06-13,18
"16",2015-06-14,2015-06-20,15
"17",2015-06-21,2015-06-27,14
"18",2015-06-28,2015-07-04,14
"19",2015-07-05,2015-07-11,15
"20",2015-07-12,2015-07-18,15
"21",2015-07-19,2015-07-25,19
"22",2015-07-26,2015-08-01,12
"23",2015-08-02,2015-08-08,11
"24",2015-08-09,2015-08-15,12
"25",2015-08-16,2015-08-22,11
"26",2015-08-23,2015-08-29,8
"27",2015-08-30,2015-09-05,7
