"","start","Gabbar.Is.Back."
"1",2015-09-01,62
"2",2015-09-02,60
"3",2015-09-03,62
"4",2015-09-04,66
"5",2015-09-05,84
"6",2015-09-06,76
"7",2015-09-07,56
"8",2015-09-08,50
"9",2015-09-09,50
"10",2015-09-10,48
"11",2015-09-11,58
"12",2015-09-12,71
"13",2015-09-13,100
"14",2015-09-14,53
"15",2015-09-15,45
"16",2015-09-16,44
"17",2015-09-17,48
"18",2015-09-18,50
"19",2015-09-19,77
"20",2015-09-20,67
"21",2015-09-21,44
"22",2015-09-22,41
"23",2015-09-23,44
"24",2015-09-24,40
"25",2015-09-25,52
"26",2015-09-26,63
"27",2015-09-27,73
"28",2015-09-28,42
"29",2015-09-29,35
"30",2015-09-30,38
