"","start","Go.Goa.Gone."
"1",2013-03-01,1
"2",2013-03-02,0
"3",2013-03-03,1
"4",2013-03-04,1
"5",2013-03-05,0
"6",2013-03-06,1
"7",2013-03-07,1
"8",2013-03-08,1
"9",2013-03-09,1
"10",2013-03-10,0
"11",2013-03-11,0
"12",2013-03-12,0
"13",2013-03-13,0
"14",2013-03-14,0
"15",2013-03-15,1
"16",2013-03-16,0
"17",2013-03-17,0
"18",2013-03-18,1
"19",2013-03-19,0
"20",2013-03-20,1
"21",2013-03-21,1
"22",2013-03-22,1
"23",2013-03-23,1
"24",2013-03-24,2
"25",2013-03-25,13
"26",2013-03-26,62
"27",2013-03-27,65
"28",2013-03-28,54
"29",2013-03-29,47
"30",2013-03-30,39
"31",2013-03-31,40
"32",2013-04-01,30
"33",2013-04-02,28
"34",2013-04-03,28
"35",2013-04-04,33
"36",2013-04-05,32
"37",2013-04-06,35
"38",2013-04-07,40
"39",2013-04-08,43
"40",2013-04-09,61
"41",2013-04-10,79
"42",2013-04-11,86
"43",2013-04-12,100
"44",2013-04-13,100
"45",2013-04-14,93
"46",2013-04-15,82
"47",2013-04-16,74
"48",2013-04-17,67
"49",2013-04-18,66
"50",2013-04-19,78
"51",2013-04-20,86
"52",2013-04-21,89
"53",2013-04-22,75
"54",2013-04-23,60
"55",2013-04-24,65
"56",2013-04-25,66
"57",2013-04-26,68
"58",2013-04-27,78
"59",2013-04-28,71
"60",2013-04-29,71
"61",2013-04-30,71
