"","start","Godzilla."
"1",2014-02-01,12
"2",2014-02-02,13
"3",2014-02-03,11
"4",2014-02-04,10
"5",2014-02-05,10
"6",2014-02-06,11
"7",2014-02-07,11
"8",2014-02-08,13
"9",2014-02-09,14
"10",2014-02-10,11
"11",2014-02-11,11
"12",2014-02-12,10
"13",2014-02-13,10
"14",2014-02-14,11
"15",2014-02-15,13
"16",2014-02-16,12
"17",2014-02-17,10
"18",2014-02-18,10
"19",2014-02-19,10
"20",2014-02-20,15
"21",2014-02-21,19
"22",2014-02-22,17
"23",2014-02-23,14
"24",2014-02-24,14
"25",2014-02-25,53
"26",2014-02-26,100
"27",2014-02-27,57
"28",2014-02-28,45
"29",2014-03-01,42
"30",2014-03-02,35
"31",2014-03-03,29
"32",2014-03-04,26
"33",2014-03-05,24
"34",2014-03-06,22
"35",2014-03-07,22
"36",2014-03-08,24
"37",2014-03-09,26
"38",2014-03-10,20
"39",2014-03-11,19
"40",2014-03-12,19
"41",2014-03-13,19
"42",2014-03-14,19
"43",2014-03-15,22
"44",2014-03-16,22
"45",2014-03-17,19
"46",2014-03-18,21
"47",2014-03-19,24
"48",2014-03-20,23
"49",2014-03-21,21
"50",2014-03-22,24
"51",2014-03-23,23
"52",2014-03-24,18
"53",2014-03-25,19
"54",2014-03-26,18
"55",2014-03-27,18
"56",2014-03-28,20
"57",2014-03-29,24
"58",2014-03-30,22
"59",2014-03-31,16
"60",2014-04-01,17
"61",2014-04-02,19
"62",2014-04-03,19
"63",2014-04-04,21
"64",2014-04-05,29
"65",2014-04-06,41
"66",2014-04-07,28
"67",2014-04-08,31
"68",2014-04-09,24
"69",2014-04-10,23
"70",2014-04-11,25
"71",2014-04-12,27
"72",2014-04-13,27
"73",2014-04-14,26
"74",2014-04-15,25
"75",2014-04-16,26
"76",2014-04-17,26
"77",2014-04-18,31
"78",2014-04-19,36
"79",2014-04-20,45
"80",2014-04-21,40
"81",2014-04-22,35
"82",2014-04-23,34
"83",2014-04-24,39
"84",2014-04-25,43
"85",2014-04-26,46
"86",2014-04-27,48
"87",2014-04-28,42
"88",2014-04-29,68
"89",2014-04-30,63
