"","start","Grand.Masti."
"1",2013-07-01,0
"2",2013-07-02,0
"3",2013-07-03,0
"4",2013-07-04,0
"5",2013-07-05,0
"6",2013-07-06,0
"7",2013-07-07,0
"8",2013-07-08,0
"9",2013-07-09,0
"10",2013-07-10,0
"11",2013-07-11,0
"12",2013-07-12,0
"13",2013-07-13,0
"14",2013-07-14,0
"15",2013-07-15,0
"16",2013-07-16,0
"17",2013-07-17,0
"18",2013-07-18,5
"19",2013-07-19,4
"20",2013-07-20,4
"21",2013-07-21,4
"22",2013-07-22,4
"23",2013-07-23,4
"24",2013-07-24,3
"25",2013-07-25,3
"26",2013-07-26,4
"27",2013-07-27,4
"28",2013-07-28,4
"29",2013-07-29,4
"30",2013-07-30,3
"31",2013-07-31,4
"32",2013-08-01,4
"33",2013-08-02,4
"34",2013-08-03,4
"35",2013-08-04,4
"36",2013-08-05,4
"37",2013-08-06,4
"38",2013-08-07,4
"39",2013-08-08,4
"40",2013-08-09,5
"41",2013-08-10,7
"42",2013-08-11,9
"43",2013-08-12,9
"44",2013-08-13,10
"45",2013-08-14,11
"46",2013-08-15,11
"47",2013-08-16,11
"48",2013-08-17,13
"49",2013-08-18,13
"50",2013-08-19,9
"51",2013-08-20,8
"52",2013-08-21,9
"53",2013-08-22,9
"54",2013-08-23,10
"55",2013-08-24,13
"56",2013-08-25,12
"57",2013-08-26,9
"58",2013-08-27,9
"59",2013-08-28,10
"60",2013-08-29,9
"61",2013-08-30,10
"62",2013-08-31,12
"63",2013-09-01,11
"64",2013-09-02,10
"65",2013-09-03,9
"66",2013-09-04,11
"67",2013-09-05,11
"68",2013-09-06,13
"69",2013-09-07,14
"70",2013-09-08,15
"71",2013-09-09,12
"72",2013-09-10,15
"73",2013-09-11,18
"74",2013-09-12,25
"75",2013-09-13,85
"76",2013-09-14,100
"77",2013-09-15,85
"78",2013-09-16,69
"79",2013-09-17,63
"80",2013-09-18,59
"81",2013-09-19,59
"82",2013-09-20,59
"83",2013-09-21,65
"84",2013-09-22,57
"85",2013-09-23,44
"86",2013-09-24,38
"87",2013-09-25,35
"88",2013-09-26,33
"89",2013-09-27,33
"90",2013-09-28,38
"91",2013-09-29,34
"92",2013-09-30,24
