"","start","Gunday."
"1",2013-12-01,1
"2",2013-12-02,0
"3",2013-12-03,0
"4",2013-12-04,0
"5",2013-12-05,0
"6",2013-12-06,0
"7",2013-12-07,0
"8",2013-12-08,0
"9",2013-12-09,0
"10",2013-12-10,0
"11",2013-12-11,0
"12",2013-12-12,1
"13",2013-12-13,1
"14",2013-12-14,2
"15",2013-12-15,1
"16",2013-12-16,1
"17",2013-12-17,1
"18",2013-12-18,1
"19",2013-12-19,1
"20",2013-12-20,1
"21",2013-12-21,1
"22",2013-12-22,1
"23",2013-12-23,1
"24",2013-12-24,1
"25",2013-12-25,1
"26",2013-12-26,2
"27",2013-12-27,2
"28",2013-12-28,2
"29",2013-12-29,2
"30",2013-12-30,2
"31",2013-12-31,2
"32",2014-01-01,2
"33",2014-01-02,2
"34",2014-01-03,2
"35",2014-01-04,2
"36",2014-01-05,3
"37",2014-01-06,3
"38",2014-01-07,4
"39",2014-01-08,5
"40",2014-01-09,6
"41",2014-01-10,6
"42",2014-01-11,8
"43",2014-01-12,9
"44",2014-01-13,10
"45",2014-01-14,10
"46",2014-01-15,11
"47",2014-01-16,12
"48",2014-01-17,13
"49",2014-01-18,15
"50",2014-01-19,13
"51",2014-01-20,11
"52",2014-01-21,10
"53",2014-01-22,11
"54",2014-01-23,11
"55",2014-01-24,12
"56",2014-01-25,14
"57",2014-01-26,14
"58",2014-01-27,12
"59",2014-01-28,12
"60",2014-01-29,13
"61",2014-01-30,14
"62",2014-01-31,15
"63",2014-02-01,18
"64",2014-02-02,19
"65",2014-02-03,16
"66",2014-02-04,16
"67",2014-02-05,16
"68",2014-02-06,10
"69",2014-02-07,19
"70",2014-02-08,24
"71",2014-02-09,32
"72",2014-02-10,26
"73",2014-02-11,25
"74",2014-02-12,24
"75",2014-02-13,29
"76",2014-02-14,77
"77",2014-02-15,100
"78",2014-02-16,89
"79",2014-02-17,62
"80",2014-02-18,53
"81",2014-02-19,48
"82",2014-02-20,45
"83",2014-02-21,48
"84",2014-02-22,55
"85",2014-02-23,46
"86",2014-02-24,32
"87",2014-02-25,29
"88",2014-02-26,26
"89",2014-02-27,27
"90",2014-02-28,26
