"","start","Haider."
"1",2014-12-01,57
"2",2014-12-02,60
"3",2014-12-03,62
"4",2014-12-04,57
"5",2014-12-05,60
"6",2014-12-06,80
"7",2014-12-07,72
"8",2014-12-08,57
"9",2014-12-09,58
"10",2014-12-10,57
"11",2014-12-11,58
"12",2014-12-12,57
"13",2014-12-13,71
"14",2014-12-14,64
"15",2014-12-15,58
"16",2014-12-16,55
"17",2014-12-17,56
"18",2014-12-18,55
"19",2014-12-19,68
"20",2014-12-20,72
"21",2014-12-21,72
"22",2014-12-22,64
"23",2014-12-23,61
"24",2014-12-24,68
"25",2014-12-25,93
"26",2014-12-26,93
"27",2014-12-27,100
"28",2014-12-28,93
"29",2014-12-29,81
"30",2014-12-30,81
"31",2014-12-31,90
