"","start","Hamari.Adhuri.Kahani."
"1",2015-04-01,0
"2",2015-04-02,0
"3",2015-04-03,0
"4",2015-04-04,0
"5",2015-04-05,0
"6",2015-04-06,0
"7",2015-04-07,0
"8",2015-04-08,0
"9",2015-04-09,0
"10",2015-04-10,0
"11",2015-04-11,0
"12",2015-04-12,0
"13",2015-04-13,0
"14",2015-04-14,0
"15",2015-04-15,0
"16",2015-04-16,0
"17",2015-04-17,0
"18",2015-04-18,0
"19",2015-04-19,1
"20",2015-04-20,0
"21",2015-04-21,0
"22",2015-04-22,0
"23",2015-04-23,0
"24",2015-04-24,0
"25",2015-04-25,0
"26",2015-04-26,0
"27",2015-04-27,0
"28",2015-04-28,0
"29",2015-04-29,0
"30",2015-04-30,0
"31",2015-05-01,0
"32",2015-05-02,0
"33",2015-05-03,1
"34",2015-05-04,5
"35",2015-05-05,7
"36",2015-05-06,8
"37",2015-05-07,8
"38",2015-05-08,10
"39",2015-05-09,13
"40",2015-05-10,14
"41",2015-05-11,13
"42",2015-05-12,14
"43",2015-05-13,16
"44",2015-05-14,18
"45",2015-05-15,22
"46",2015-05-16,23
"47",2015-05-17,24
"48",2015-05-18,21
"49",2015-05-19,22
"50",2015-05-20,23
"51",2015-05-21,25
"52",2015-05-22,26
"53",2015-05-23,33
"54",2015-05-24,29
"55",2015-05-25,26
"56",2015-05-26,25
"57",2015-05-27,25
"58",2015-05-28,26
"59",2015-05-29,27
"60",2015-05-30,31
"61",2015-05-31,29
"62",2015-06-01,25
"63",2015-06-02,23
"64",2015-06-03,27
"65",2015-06-04,29
"66",2015-06-05,31
"67",2015-06-06,36
"68",2015-06-07,32
"69",2015-06-08,28
"70",2015-06-09,32
"71",2015-06-10,38
"72",2015-06-11,47
"73",2015-06-12,90
"74",2015-06-13,100
"75",2015-06-14,84
"76",2015-06-15,64
"77",2015-06-16,60
"78",2015-06-17,57
"79",2015-06-18,52
"80",2015-06-19,46
"81",2015-06-20,53
"82",2015-06-21,48
"83",2015-06-22,34
"84",2015-06-23,32
"85",2015-06-24,31
"86",2015-06-25,30
"87",2015-06-26,31
"88",2015-06-27,37
"89",2015-06-28,35
"90",2015-06-29,27
"91",2015-06-30,28
