"","start","Happy.Ending."
"1",2014-11-01,17
"2",2014-11-02,18
"3",2014-11-03,14
"4",2014-11-04,14
"5",2014-11-05,14
"6",2014-11-06,15
"7",2014-11-07,15
"8",2014-11-08,17
"9",2014-11-09,17
"10",2014-11-10,15
"11",2014-11-11,15
"12",2014-11-12,15
"13",2014-11-13,16
"14",2014-11-14,17
"15",2014-11-15,28
"16",2014-11-16,29
"17",2014-11-17,23
"18",2014-11-18,24
"19",2014-11-19,26
"20",2014-11-20,33
"21",2014-11-21,86
"22",2014-11-22,100
"23",2014-11-23,82
"24",2014-11-24,51
"25",2014-11-25,42
"26",2014-11-26,41
"27",2014-11-27,38
"28",2014-11-28,37
"29",2014-11-29,43
"30",2014-11-30,37
