"","start","Himmatwala."
"1",2013-06-01,97
"2",2013-06-02,87
"3",2013-06-03,68
"4",2013-06-04,70
"5",2013-06-05,72
"6",2013-06-06,72
"7",2013-06-07,77
"8",2013-06-08,81
"9",2013-06-09,80
"10",2013-06-10,56
"11",2013-06-11,56
"12",2013-06-12,55
"13",2013-06-13,61
"14",2013-06-14,62
"15",2013-06-15,81
"16",2013-06-16,77
"17",2013-06-17,60
"18",2013-06-18,66
"19",2013-06-19,61
"20",2013-06-20,69
"21",2013-06-21,72
"22",2013-06-22,94
"23",2013-06-23,83
"24",2013-06-24,64
"25",2013-06-25,58
"26",2013-06-26,61
"27",2013-06-27,62
"28",2013-06-28,67
"29",2013-06-29,100
"30",2013-06-30,79
