"","start","Horror.Story."
"1",2013-09-01,45
"2",2013-09-02,44
"3",2013-09-03,45
"4",2013-09-04,57
"5",2013-09-05,47
"6",2013-09-06,45
"7",2013-09-07,57
"8",2013-09-08,58
"9",2013-09-09,45
"10",2013-09-10,60
"11",2013-09-11,81
"12",2013-09-12,68
"13",2013-09-13,84
"14",2013-09-14,95
"15",2013-09-15,88
"16",2013-09-16,74
"17",2013-09-17,74
"18",2013-09-18,77
"19",2013-09-19,76
"20",2013-09-20,98
"21",2013-09-21,99
"22",2013-09-22,98
"23",2013-09-23,98
"24",2013-09-24,76
"25",2013-09-25,99
"26",2013-09-26,96
"27",2013-09-27,79
"28",2013-09-28,91
"29",2013-09-29,100
"30",2013-09-30,81
