"","start","Humshakals."
"1",2014-07-01,95
"2",2014-07-02,94
"3",2014-07-03,89
"4",2014-07-04,83
"5",2014-07-05,100
"6",2014-07-06,89
"7",2014-07-07,63
"8",2014-07-08,52
"9",2014-07-09,51
"10",2014-07-10,53
"11",2014-07-11,56
"12",2014-07-12,69
"13",2014-07-13,62
"14",2014-07-14,43
"15",2014-07-15,39
"16",2014-07-16,40
"17",2014-07-17,39
"18",2014-07-18,45
"19",2014-07-19,58
"20",2014-07-20,55
"21",2014-07-21,38
"22",2014-07-22,33
"23",2014-07-23,34
"24",2014-07-24,34
"25",2014-07-25,33
"26",2014-07-26,43
"27",2014-07-27,41
"28",2014-07-28,32
"29",2014-07-29,35
"30",2014-07-30,32
"31",2014-07-31,33
