"","start","Hunterrr."
"1",2015-01-01,0
"2",2015-01-02,0
"3",2015-01-03,0
"4",2015-01-04,0
"5",2015-01-05,0
"6",2015-01-06,0
"7",2015-01-07,0
"8",2015-01-08,0
"9",2015-01-09,0
"10",2015-01-10,0
"11",2015-01-11,0
"12",2015-01-12,0
"13",2015-01-13,0
"14",2015-01-14,0
"15",2015-01-15,2
"16",2015-01-16,2
"17",2015-01-17,2
"18",2015-01-18,2
"19",2015-01-19,1
"20",2015-01-20,2
"21",2015-01-21,1
"22",2015-01-22,1
"23",2015-01-23,1
"24",2015-01-24,1
"25",2015-01-25,1
"26",2015-01-26,1
"27",2015-01-27,1
"28",2015-01-28,0
"29",2015-01-29,0
"30",2015-01-30,1
"31",2015-01-31,1
"32",2015-02-01,0
"33",2015-02-02,1
"34",2015-02-03,1
"35",2015-02-04,1
"36",2015-02-05,1
"37",2015-02-06,1
"38",2015-02-07,0
"39",2015-02-08,0
"40",2015-02-09,0
"41",2015-02-10,2
"42",2015-02-11,2
"43",2015-02-12,2
"44",2015-02-13,2
"45",2015-02-14,2
"46",2015-02-15,1
"47",2015-02-16,1
"48",2015-02-17,2
"49",2015-02-18,1
"50",2015-02-19,1
"51",2015-02-20,1
"52",2015-02-21,1
"53",2015-02-22,1
"54",2015-02-23,1
"55",2015-02-24,1
"56",2015-02-25,2
"57",2015-02-26,2
"58",2015-02-27,3
"59",2015-02-28,3
"60",2015-03-01,3
"61",2015-03-02,2
"62",2015-03-03,2
"63",2015-03-04,2
"64",2015-03-05,3
"65",2015-03-06,3
"66",2015-03-07,4
"67",2015-03-08,3
"68",2015-03-09,4
"69",2015-03-10,3
"70",2015-03-11,4
"71",2015-03-12,5
"72",2015-03-13,8
"73",2015-03-14,10
"74",2015-03-15,12
"75",2015-03-16,14
"76",2015-03-17,14
"77",2015-03-18,16
"78",2015-03-19,17
"79",2015-03-20,81
"80",2015-03-21,100
"81",2015-03-22,78
"82",2015-03-23,65
"83",2015-03-24,50
"84",2015-03-25,57
"85",2015-03-26,37
"86",2015-03-27,45
"87",2015-03-28,60
"88",2015-03-29,44
"89",2015-03-30,34
"90",2015-03-31,32
