"","start","Jackpot."
"1",2013-10-01,9
"2",2013-10-02,10
"3",2013-10-03,10
"4",2013-10-04,12
"5",2013-10-05,15
"6",2013-10-06,12
"7",2013-10-07,10
"8",2013-10-08,10
"9",2013-10-09,10
"10",2013-10-10,11
"11",2013-10-11,13
"12",2013-10-12,16
"13",2013-10-13,13
"14",2013-10-14,13
"15",2013-10-15,11
"16",2013-10-16,11
"17",2013-10-17,9
"18",2013-10-18,12
"19",2013-10-19,14
"20",2013-10-20,11
"21",2013-10-21,10
"22",2013-10-22,9
"23",2013-10-23,10
"24",2013-10-24,9
"25",2013-10-25,11
"26",2013-10-26,14
"27",2013-10-27,11
"28",2013-10-28,10
"29",2013-10-29,13
"30",2013-10-30,13
"31",2013-10-31,13
"32",2013-11-01,15
"33",2013-11-02,18
"34",2013-11-03,15
"35",2013-11-04,13
"36",2013-11-05,12
"37",2013-11-06,14
"38",2013-11-07,15
"39",2013-11-08,16
"40",2013-11-09,21
"41",2013-11-10,20
"42",2013-11-11,17
"43",2013-11-12,19
"44",2013-11-13,20
"45",2013-11-14,20
"46",2013-11-15,23
"47",2013-11-16,27
"48",2013-11-17,25
"49",2013-11-18,22
"50",2013-11-19,20
"51",2013-11-20,22
"52",2013-11-21,22
"53",2013-11-22,25
"54",2013-11-23,31
"55",2013-11-24,26
"56",2013-11-25,22
"57",2013-11-26,24
"58",2013-11-27,27
"59",2013-11-28,25
"60",2013-11-29,28
"61",2013-11-30,35
"62",2013-12-01,29
"63",2013-12-02,26
"64",2013-12-03,27
"65",2013-12-04,28
"66",2013-12-05,28
"67",2013-12-06,33
"68",2013-12-07,39
"69",2013-12-08,35
"70",2013-12-09,32
"71",2013-12-10,35
"72",2013-12-11,40
"73",2013-12-12,56
"74",2013-12-13,86
"75",2013-12-14,100
"76",2013-12-15,78
"77",2013-12-16,67
"78",2013-12-17,76
"79",2013-12-18,79
"80",2013-12-19,56
"81",2013-12-20,47
"82",2013-12-21,52
"83",2013-12-22,43
"84",2013-12-23,36
"85",2013-12-24,38
"86",2013-12-25,38
"87",2013-12-26,33
"88",2013-12-27,35
"89",2013-12-28,40
"90",2013-12-29,34
"91",2013-12-30,30
"92",2013-12-31,32
