"","start","Jazbaa."
"1",2015-10-01,15
"2",2015-10-02,15
"3",2015-10-03,17
"4",2015-10-04,19
"5",2015-10-05,14
"6",2015-10-06,16
"7",2015-10-07,17
"8",2015-10-08,26
"9",2015-10-09,91
"10",2015-10-10,100
"11",2015-10-11,68
"12",2015-10-12,46
"13",2015-10-13,34
"14",2015-10-14,28
"15",2015-10-15,26
"16",2015-10-16,27
"17",2015-10-17,32
"18",2015-10-18,25
"19",2015-10-19,16
"20",2015-10-20,15
"21",2015-10-21,14
"22",2015-10-22,14
"23",2015-10-23,14
"24",2015-10-24,16
"25",2015-10-25,13
"26",2015-10-26,9
"27",2015-10-27,8
"28",2015-10-28,8
"29",2015-10-29,8
"30",2015-10-30,8
"31",2015-10-31,11
