"","start","Jurassic.World."
"1",2015-07-01,75
"2",2015-07-02,73
"3",2015-07-03,82
"4",2015-07-04,97
"5",2015-07-05,98
"6",2015-07-06,70
"7",2015-07-07,61
"8",2015-07-08,59
"9",2015-07-09,56
"10",2015-07-10,61
"11",2015-07-11,91
"12",2015-07-12,100
"13",2015-07-13,66
"14",2015-07-14,58
"15",2015-07-15,54
"16",2015-07-16,52
"17",2015-07-17,56
"18",2015-07-18,74
"19",2015-07-19,78
"20",2015-07-20,50
"21",2015-07-21,46
"22",2015-07-22,45
"23",2015-07-23,46
"24",2015-07-24,52
"25",2015-07-25,63
"26",2015-07-26,65
"27",2015-07-27,43
"28",2015-07-28,39
"29",2015-07-29,37
"30",2015-07-30,35
"31",2015-07-31,37
