"","start","Katti.Batti."
"1",2015-09-01,9
"2",2015-09-02,10
"3",2015-09-03,10
"4",2015-09-04,11
"5",2015-09-05,13
"6",2015-09-06,12
"7",2015-09-07,10
"8",2015-09-08,10
"9",2015-09-09,9
"10",2015-09-10,10
"11",2015-09-11,12
"12",2015-09-12,15
"13",2015-09-13,15
"14",2015-09-14,13
"15",2015-09-15,14
"16",2015-09-16,17
"17",2015-09-17,26
"18",2015-09-18,100
"19",2015-09-19,91
"20",2015-09-20,66
"21",2015-09-21,42
"22",2015-09-22,36
"23",2015-09-23,32
"24",2015-09-24,30
"25",2015-09-25,29
"26",2015-09-26,28
"27",2015-09-27,20
"28",2015-09-28,13
"29",2015-09-29,12
"30",2015-09-30,11
