"","start","Khoobsurat."
"1",2014-07-01,1
"2",2014-07-02,1
"3",2014-07-03,1
"4",2014-07-04,1
"5",2014-07-05,1
"6",2014-07-06,1
"7",2014-07-07,1
"8",2014-07-08,1
"9",2014-07-09,1
"10",2014-07-10,2
"11",2014-07-11,2
"12",2014-07-12,2
"13",2014-07-13,1
"14",2014-07-14,3
"15",2014-07-15,2
"16",2014-07-16,2
"17",2014-07-17,3
"18",2014-07-18,4
"19",2014-07-19,4
"20",2014-07-20,3
"21",2014-07-21,12
"22",2014-07-22,9
"23",2014-07-23,6
"24",2014-07-24,5
"25",2014-07-25,4
"26",2014-07-26,12
"27",2014-07-27,11
"28",2014-07-28,6
"29",2014-07-29,4
"30",2014-07-30,4
"31",2014-07-31,3
"32",2014-08-01,3
"33",2014-08-02,5
"34",2014-08-03,4
"35",2014-08-04,3
"36",2014-08-05,3
"37",2014-08-06,3
"38",2014-08-07,5
"39",2014-08-08,5
"40",2014-08-09,5
"41",2014-08-10,5
"42",2014-08-11,4
"43",2014-08-12,5
"44",2014-08-13,5
"45",2014-08-14,6
"46",2014-08-15,6
"47",2014-08-16,7
"48",2014-08-17,7
"49",2014-08-18,6
"50",2014-08-19,5
"51",2014-08-20,5
"52",2014-08-21,7
"53",2014-08-22,7
"54",2014-08-23,9
"55",2014-08-24,11
"56",2014-08-25,9
"57",2014-08-26,10
"58",2014-08-27,9
"59",2014-08-28,10
"60",2014-08-29,10
"61",2014-08-30,12
"62",2014-08-31,12
"63",2014-09-01,10
"64",2014-09-02,10
"65",2014-09-03,10
"66",2014-09-04,11
"67",2014-09-05,13
"68",2014-09-06,17
"69",2014-09-07,17
"70",2014-09-08,12
"71",2014-09-09,12
"72",2014-09-10,12
"73",2014-09-11,15
"74",2014-09-12,16
"75",2014-09-13,20
"76",2014-09-14,20
"77",2014-09-15,15
"78",2014-09-16,16
"79",2014-09-17,18
"80",2014-09-18,26
"81",2014-09-19,78
"82",2014-09-20,100
"83",2014-09-21,79
"84",2014-09-22,51
"85",2014-09-23,45
"86",2014-09-24,41
"87",2014-09-25,39
"88",2014-09-26,40
"89",2014-09-27,49
"90",2014-09-28,43
"91",2014-09-29,28
"92",2014-09-30,27
