"","start","Kill.Dil."
"1",2014-11-01,18
"2",2014-11-02,20
"3",2014-11-03,16
"4",2014-11-04,16
"5",2014-11-05,16
"6",2014-11-06,17
"7",2014-11-07,20
"8",2014-11-08,28
"9",2014-11-09,26
"10",2014-11-10,21
"11",2014-11-11,22
"12",2014-11-12,24
"13",2014-11-13,28
"14",2014-11-14,78
"15",2014-11-15,100
"16",2014-11-16,77
"17",2014-11-17,53
"18",2014-11-18,45
"19",2014-11-19,40
"20",2014-11-20,37
"21",2014-11-21,37
"22",2014-11-22,43
"23",2014-11-23,36
"24",2014-11-24,25
"25",2014-11-25,21
"26",2014-11-26,20
"27",2014-11-27,20
"28",2014-11-28,20
"29",2014-11-29,24
"30",2014-11-30,20
