"","start","Krrish.3."
"1",2013-09-01,32
"2",2013-09-02,23
"3",2013-09-03,24
"4",2013-09-04,23
"5",2013-09-05,27
"6",2013-09-06,28
"7",2013-09-07,34
"8",2013-09-08,35
"9",2013-09-09,29
"10",2013-09-10,33
"11",2013-09-11,43
"12",2013-09-12,61
"13",2013-09-13,64
"14",2013-09-14,87
"15",2013-09-15,95
"16",2013-09-16,69
"17",2013-09-17,68
"18",2013-09-18,77
"19",2013-09-19,84
"20",2013-09-20,80
"21",2013-09-21,94
"22",2013-09-22,85
"23",2013-09-23,62
"24",2013-09-24,66
"25",2013-09-25,68
"26",2013-09-26,77
"27",2013-09-27,81
"28",2013-09-28,100
"29",2013-09-29,90
"30",2013-09-30,77
