"","start","Lingaa..Hindi.."
"1",2015-03-01,75
"2",2015-03-02,100
"3",2015-03-03,97
"4",2015-03-04,85
"5",2015-03-05,85
"6",2015-03-06,70
"7",2015-03-07,79
"8",2015-03-08,77
"9",2015-03-09,61
"10",2015-03-10,69
"11",2015-03-11,86
"12",2015-03-12,57
"13",2015-03-13,67
"14",2015-03-14,100
"15",2015-03-15,56
"16",2015-03-16,54
"17",2015-03-17,86
"18",2015-03-18,83
"19",2015-03-19,56
"20",2015-03-20,58
"21",2015-03-21,55
"22",2015-03-22,79
"23",2015-03-23,65
"24",2015-03-24,39
"25",2015-03-25,47
"26",2015-03-26,42
"27",2015-03-27,59
"28",2015-03-28,71
"29",2015-03-29,54
"30",2015-03-30,46
"31",2015-03-31,42
