"","start","MSG.The.Messenger."
"1",2014-12-01,1
"2",2014-12-02,1
"3",2014-12-03,1
"4",2014-12-04,1
"5",2014-12-05,1
"6",2014-12-06,2
"7",2014-12-07,1
"8",2014-12-08,1
"9",2014-12-09,2
"10",2014-12-10,2
"11",2014-12-11,3
"12",2014-12-12,4
"13",2014-12-13,7
"14",2014-12-14,3
"15",2014-12-15,2
"16",2014-12-16,3
"17",2014-12-17,16
"18",2014-12-18,10
"19",2014-12-19,29
"20",2014-12-20,19
"21",2014-12-21,13
"22",2014-12-22,13
"23",2014-12-23,16
"24",2014-12-24,16
"25",2014-12-25,7
"26",2014-12-26,7
"27",2014-12-27,9
"28",2014-12-28,12
"29",2014-12-29,10
"30",2014-12-30,9
"31",2014-12-31,9
"32",2015-01-01,13
"33",2015-01-02,11
"34",2015-01-03,10
"35",2015-01-04,13
"36",2015-01-05,8
"37",2015-01-06,13
"38",2015-01-07,18
"39",2015-01-08,12
"40",2015-01-09,13
"41",2015-01-10,12
"42",2015-01-11,17
"43",2015-01-12,16
"44",2015-01-13,17
"45",2015-01-14,17
"46",2015-01-15,21
"47",2015-01-16,46
"48",2015-01-17,26
"49",2015-01-18,20
"50",2015-01-19,9
"51",2015-01-20,12
"52",2015-01-21,6
"53",2015-01-22,10
"54",2015-01-23,10
"55",2015-01-24,9
"56",2015-01-25,8
"57",2015-01-26,5
"58",2015-01-27,6
"59",2015-01-28,6
"60",2015-01-29,7
"61",2015-01-30,4
"62",2015-01-31,7
"63",2015-02-01,5
"64",2015-02-02,5
"65",2015-02-03,7
"66",2015-02-04,7
"67",2015-02-05,6
"68",2015-02-06,8
"69",2015-02-07,6
"70",2015-02-08,10
"71",2015-02-09,8
"72",2015-02-10,12
"73",2015-02-11,19
"74",2015-02-12,26
"75",2015-02-13,100
"76",2015-02-14,92
"77",2015-02-15,59
"78",2015-02-16,59
"79",2015-02-17,48
"80",2015-02-18,37
"81",2015-02-19,42
"82",2015-02-20,42
"83",2015-02-21,48
"84",2015-02-22,31
"85",2015-02-23,24
"86",2015-02-24,29
"87",2015-02-25,24
"88",2015-02-26,22
"89",2015-02-27,18
"90",2015-02-28,19
