"","start","Mission.Impossible.Rogue.Nation."
"1",2015-09-01,50
"2",2015-09-02,50
"3",2015-09-03,48
"4",2015-09-04,57
"5",2015-09-05,88
"6",2015-09-06,95
"7",2015-09-07,68
"8",2015-09-08,43
"9",2015-09-09,37
"10",2015-09-10,37
"11",2015-09-11,45
"12",2015-09-12,79
"13",2015-09-13,72
"14",2015-09-14,39
"15",2015-09-15,33
"16",2015-09-16,33
"17",2015-09-17,32
"18",2015-09-18,42
"19",2015-09-19,60
"20",2015-09-20,61
"21",2015-09-21,32
"22",2015-09-22,31
"23",2015-09-23,33
"24",2015-09-24,69
"25",2015-09-25,80
"26",2015-09-26,100
"27",2015-09-27,97
"28",2015-09-28,52
"29",2015-09-29,41
"30",2015-09-30,40
