"","start","Mr..X."
"1",2015-05-01,100
"2",2015-05-02,96
"3",2015-05-03,75
"4",2015-05-04,67
"5",2015-05-05,65
"6",2015-05-06,59
"7",2015-05-07,58
"8",2015-05-08,67
"9",2015-05-09,74
"10",2015-05-10,70
"11",2015-05-11,54
"12",2015-05-12,48
"13",2015-05-13,55
"14",2015-05-14,54
"15",2015-05-15,49
"16",2015-05-16,53
"17",2015-05-17,50
"18",2015-05-18,49
"19",2015-05-19,39
"20",2015-05-20,37
"21",2015-05-21,39
"22",2015-05-22,36
"23",2015-05-23,43
"24",2015-05-24,36
"25",2015-05-25,31
"26",2015-05-26,32
"27",2015-05-27,33
"28",2015-05-28,32
"29",2015-05-29,35
"30",2015-05-30,34
"31",2015-05-31,39
