"","start","Murder.3."
"1",2013-03-01,89
"2",2013-03-02,100
"3",2013-03-03,90
"4",2013-03-04,62
"5",2013-03-05,62
"6",2013-03-06,60
"7",2013-03-07,60
"8",2013-03-08,60
"9",2013-03-09,75
"10",2013-03-10,68
"11",2013-03-11,53
"12",2013-03-12,54
"13",2013-03-13,49
"14",2013-03-14,48
"15",2013-03-15,54
"16",2013-03-16,61
"17",2013-03-17,65
"18",2013-03-18,46
"19",2013-03-19,46
"20",2013-03-20,48
"21",2013-03-21,46
"22",2013-03-22,48
"23",2013-03-23,58
"24",2013-03-24,63
"25",2013-03-25,46
"26",2013-03-26,42
"27",2013-03-27,39
"28",2013-03-28,42
"29",2013-03-29,41
"30",2013-03-30,46
"31",2013-03-31,45
