"","start","Nautanki.Saala.movie."
"1",2013-04-01,20
"2",2013-04-02,17
"3",2013-04-03,14
"4",2013-04-04,16
"5",2013-04-05,18
"6",2013-04-06,19
"7",2013-04-07,22
"8",2013-04-08,17
"9",2013-04-09,16
"10",2013-04-10,22
"11",2013-04-11,30
"12",2013-04-12,95
"13",2013-04-13,100
"14",2013-04-14,85
"15",2013-04-15,59
"16",2013-04-16,49
"17",2013-04-17,41
"18",2013-04-18,45
"19",2013-04-19,48
"20",2013-04-20,55
"21",2013-04-21,47
"22",2013-04-22,29
"23",2013-04-23,28
"24",2013-04-24,27
"25",2013-04-25,26
"26",2013-04-26,28
"27",2013-04-27,38
"28",2013-04-28,27
"29",2013-04-29,17
"30",2013-04-30,20
