"","start","PK.movie."
"1",2014-12-01,4
"2",2014-12-02,4
"3",2014-12-03,4
"4",2014-12-04,4
"5",2014-12-05,5
"6",2014-12-06,6
"7",2014-12-07,5
"8",2014-12-08,4
"9",2014-12-09,4
"10",2014-12-10,5
"11",2014-12-11,5
"12",2014-12-12,6
"13",2014-12-13,7
"14",2014-12-14,7
"15",2014-12-15,6
"16",2014-12-16,6
"17",2014-12-17,9
"18",2014-12-18,15
"19",2014-12-19,87
"20",2014-12-20,100
"21",2014-12-21,85
"22",2014-12-22,66
"23",2014-12-23,60
"24",2014-12-24,66
"25",2014-12-25,72
"26",2014-12-26,59
"27",2014-12-27,59
"28",2014-12-28,54
"29",2014-12-29,47
"30",2014-12-30,49
"31",2014-12-31,51
