"","start","Phantom.movie."
"1",2015-05-01,66
"2",2015-05-02,100
"3",2015-05-03,79
"4",2015-05-04,82
"5",2015-05-05,76
"6",2015-05-06,63
"7",2015-05-07,67
"8",2015-05-08,70
"9",2015-05-09,75
"10",2015-05-10,80
"11",2015-05-11,73
"12",2015-05-12,69
"13",2015-05-13,64
"14",2015-05-14,58
"15",2015-05-15,57
"16",2015-05-16,89
"17",2015-05-17,77
"18",2015-05-18,69
"19",2015-05-19,51
"20",2015-05-20,59
"21",2015-05-21,58
"22",2015-05-22,71
"23",2015-05-23,88
"24",2015-05-24,88
"25",2015-05-25,74
"26",2015-05-26,58
"27",2015-05-27,55
"28",2015-05-28,48
"29",2015-05-29,66
"30",2015-05-30,81
"31",2015-05-31,74
