"","start","Phata.Poster.Nikla.Hero.movie."
"1",2013-11-01,75
"2",2013-11-02,100
"3",2013-11-03,80
"4",2013-11-04,58
"5",2013-11-05,53
"6",2013-11-06,47
"7",2013-11-07,49
"8",2013-11-08,47
"9",2013-11-09,64
"10",2013-11-10,65
"11",2013-11-11,42
"12",2013-11-12,39
"13",2013-11-13,37
"14",2013-11-14,38
"15",2013-11-15,43
"16",2013-11-16,47
"17",2013-11-17,52
"18",2013-11-18,29
"19",2013-11-19,35
"20",2013-11-20,26
"21",2013-11-21,29
"22",2013-11-22,32
"23",2013-11-23,52
"24",2013-11-24,44
"25",2013-11-25,28
"26",2013-11-26,31
"27",2013-11-27,23
"28",2013-11-28,27
"29",2013-11-29,34
"30",2013-11-30,39
