"","start","Piku.movie."
"1",2015-03-01,4
"2",2015-03-02,3
"3",2015-03-03,2
"4",2015-03-04,2
"5",2015-03-05,1
"6",2015-03-06,2
"7",2015-03-07,2
"8",2015-03-08,3
"9",2015-03-09,2
"10",2015-03-10,2
"11",2015-03-11,3
"12",2015-03-12,2
"13",2015-03-13,4
"14",2015-03-14,3
"15",2015-03-15,3
"16",2015-03-16,4
"17",2015-03-17,3
"18",2015-03-18,3
"19",2015-03-19,2
"20",2015-03-20,5
"21",2015-03-21,7
"22",2015-03-22,19
"23",2015-03-23,21
"24",2015-03-24,16
"25",2015-03-25,78
"26",2015-03-26,73
"27",2015-03-27,55
"28",2015-03-28,43
"29",2015-03-29,30
"30",2015-03-30,28
"31",2015-03-31,21
"32",2015-04-01,30
"33",2015-04-02,32
"34",2015-04-03,34
"35",2015-04-04,33
"36",2015-04-05,41
"37",2015-04-06,41
"38",2015-04-07,37
"39",2015-04-08,38
"40",2015-04-09,47
"41",2015-04-10,54
"42",2015-04-11,57
"43",2015-04-12,65
"44",2015-04-13,49
"45",2015-04-14,50
"46",2015-04-15,61
"47",2015-04-16,64
"48",2015-04-17,67
"49",2015-04-18,77
"50",2015-04-19,73
"51",2015-04-20,76
"52",2015-04-21,71
"53",2015-04-22,64
"54",2015-04-23,83
"55",2015-04-24,88
"56",2015-04-25,100
"57",2015-04-26,99
"58",2015-04-27,71
"59",2015-04-28,76
"60",2015-04-29,71
"61",2015-04-30,93
