"","start","Policegiri.movie."
"1",2013-08-01,73
"2",2013-08-02,68
"3",2013-08-03,88
"4",2013-08-04,87
"5",2013-08-05,57
"6",2013-08-06,53
"7",2013-08-07,68
"8",2013-08-08,57
"9",2013-08-09,75
"10",2013-08-10,88
"11",2013-08-11,90
"12",2013-08-12,67
"13",2013-08-13,71
"14",2013-08-14,62
"15",2013-08-15,98
"16",2013-08-16,100
"17",2013-08-17,85
"18",2013-08-18,93
"19",2013-08-19,61
"20",2013-08-20,56
"21",2013-08-21,39
"22",2013-08-22,43
"23",2013-08-23,50
"24",2013-08-24,87
"25",2013-08-25,73
"26",2013-08-26,49
"27",2013-08-27,48
"28",2013-08-28,49
"29",2013-08-29,53
"30",2013-08-30,42
"31",2013-08-31,60
