"","start","Queen.movie."
"1",2014-04-01,68
"2",2014-04-02,67
"3",2014-04-03,65
"4",2014-04-04,77
"5",2014-04-05,100
"6",2014-04-06,93
"7",2014-04-07,60
"8",2014-04-08,55
"9",2014-04-09,53
"10",2014-04-10,53
"11",2014-04-11,61
"12",2014-04-12,88
"13",2014-04-13,75
"14",2014-04-14,50
"15",2014-04-15,47
"16",2014-04-16,43
"17",2014-04-17,52
"18",2014-04-18,58
"19",2014-04-19,67
"20",2014-04-20,67
"21",2014-04-21,44
"22",2014-04-22,37
"23",2014-04-23,38
"24",2014-04-24,39
"25",2014-04-25,47
"26",2014-04-26,61
"27",2014-04-27,61
"28",2014-04-28,38
"29",2014-04-29,40
"30",2014-04-30,43
